IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
104.19.42.187,443,true,HKG,Asia Pacific,Hong Kong,41 ms,5340 kB/s
104.17.35.78,443,true,SJC,North America,San Jose,184 ms,5328 kB/s
104.17.38.157,443,true,SJC,North America,San Jose,186 ms,5292 kB/s
104.16.80.73,443,true,TPE,Asia Pacific,Taipei,55 ms,5278 kB/s
104.26.3.120,443,true,HKG,Asia Pacific,Hong Kong,31 ms,5275 kB/s
104.16.95.80,443,true,TPE,Asia Pacific,Taipei,52 ms,5264 kB/s
104.16.61.60,443,true,HKG,Asia Pacific,Hong Kong,33 ms,5217 kB/s
104.18.115.158,443,true,FRA,Europe,Frankfurt,245 ms,5212 kB/s
104.16.131.186,443,true,HKG,Asia Pacific,Hong Kong,34 ms,5137 kB/s
104.16.204.136,443,true,HKG,Asia Pacific,Hong Kong,60 ms,5136 kB/s
172.65.90.26,443,true,SEA,North America,Seattle,34 ms,5132 kB/s
172.64.155.166,443,true,HKG,Asia Pacific,Hong Kong,33 ms,5086 kB/s
104.17.6.58,443,true,HKG,Asia Pacific,Hong Kong,32 ms,5069 kB/s
104.18.38.5,443,true,HKG,Asia Pacific,Hong Kong,32 ms,5067 kB/s
104.22.8.79,443,true,HKG,Asia Pacific,Hong Kong,31 ms,5037 kB/s
104.21.26.86,443,true,HKG,Asia Pacific,Hong Kong,35 ms,5027 kB/s
104.18.43.79,443,true,HKG,Asia Pacific,Hong Kong,31 ms,5014 kB/s
104.16.168.82,443,true,SJC,North America,San Jose,171 ms,5014 kB/s
