IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
172.67.136.108,443,true,FRA,Europe,Frankfurt,249 ms,0 kB/s
172.67.136.111,443,true,FRA,Europe,Frankfurt,231 ms,0 kB/s
172.67.137.91,443,true,FRA,Europe,Frankfurt,241 ms,0 kB/s
104.16.97.249,443,true,FRA,Europe,Frankfurt,245 ms,0 kB/s
172.67.137.85,443,true,FRA,Europe,Frankfurt,243 ms,0 kB/s
104.16.94.28,443,true,SJC,North America,San Jose,191 ms,0 kB/s
172.67.137.214,443,true,FRA,Europe,Frankfurt,266 ms,0 kB/s
172.67.137.213,443,true,FRA,Europe,Frankfurt,233 ms,0 kB/s
104.16.93.0,443,true,SJC,North America,San Jose,177 ms,0 kB/s
172.67.138.221,443,true,FRA,Europe,Frankfurt,237 ms,0 kB/s
172.67.139.76,443,true,FRA,Europe,Frankfurt,241 ms,0 kB/s
172.67.141.240,443,true,HAM,Europe,Hamburg,250 ms,0 kB/s
104.16.92.129,443,true,SJC,North America,San Jose,200 ms,0 kB/s
172.67.142.96,443,true,FRA,Europe,Frankfurt,238 ms,0 kB/s
172.67.142.125,443,true,FRA,Europe,Frankfurt,236 ms,0 kB/s
172.67.142.126,443,true,FRA,Europe,Frankfurt,244 ms,0 kB/s
172.67.142.127,443,true,FRA,Europe,Frankfurt,239 ms,0 kB/s
172.67.142.253,443,true,FRA,Europe,Frankfurt,242 ms,0 kB/s
104.16.92.10,443,true,SJC,North America,San Jose,182 ms,0 kB/s
104.16.92.6,443,true,SJC,North America,San Jose,182 ms,0 kB/s
172.67.148.34,443,true,SEA,North America,Seattle,181 ms,0 kB/s
172.67.148.61,443,true,SEA,North America,Seattle,179 ms,0 kB/s
104.16.91.241,443,true,SJC,North America,San Jose,201 ms,0 kB/s
172.67.148.232,443,true,SEA,North America,Seattle,166 ms,0 kB/s
104.16.91.189,443,true,SJC,North America,San Jose,157 ms,0 kB/s
172.67.149.19,443,true,SEA,North America,Seattle,176 ms,0 kB/s
104.16.91.50,443,true,SJC,North America,San Jose,185 ms,0 kB/s
172.67.149.26,443,true,SEA,North America,Seattle,172 ms,0 kB/s
172.67.149.232,443,true,SEA,North America,Seattle,164 ms,0 kB/s
172.67.149.234,443,true,SEA,North America,Seattle,178 ms,0 kB/s
104.16.91.44,443,true,SJC,North America,San Jose,197 ms,0 kB/s
104.16.91.46,443,true,SJC,North America,San Jose,183 ms,0 kB/s
104.16.90.53,443,true,SJC,North America,San Jose,181 ms,0 kB/s
104.16.89.41,443,true,TPE,Asia Pacific,Taipei,53 ms,0 kB/s
104.16.88.42,443,true,SJC,North America,San Jose,188 ms,0 kB/s
104.16.87.85,443,true,SJC,North America,San Jose,179 ms,0 kB/s
172.67.159.31,443,true,SEA,North America,Seattle,182 ms,0 kB/s
172.67.159.104,443,true,SEA,North America,Seattle,173 ms,0 kB/s
172.67.159.171,443,true,SEA,North America,Seattle,189 ms,0 kB/s
172.67.159.213,443,true,SEA,North America,Seattle,175 ms,0 kB/s
172.67.163.237,443,true,HKG,Asia Pacific,Hong Kong,32 ms,0 kB/s
172.67.165.171,443,true,SEA,North America,Seattle,211 ms,0 kB/s
104.16.86.89,443,true,SJC,North America,San Jose,178 ms,0 kB/s
104.16.85.194,443,true,SJC,North America,San Jose,185 ms,0 kB/s
104.16.85.64,443,true,SJC,North America,San Jose,192 ms,0 kB/s
172.67.168.18,443,true,SEA,North America,Seattle,166 ms,0 kB/s
104.16.84.197,443,true,SJC,North America,San Jose,189 ms,0 kB/s
172.67.168.218,443,true,SEA,North America,Seattle,180 ms,0 kB/s
172.67.170.55,443,true,SEA,North America,Seattle,181 ms,0 kB/s
172.67.170.191,443,true,SEA,North America,Seattle,174 ms,0 kB/s
104.16.80.230,443,true,SJC,North America,San Jose,189 ms,0 kB/s
172.67.170.254,443,true,SEA,North America,Seattle,190 ms,0 kB/s
172.67.175.70,443,true,SEA,North America,Seattle,166 ms,0 kB/s
104.16.80.110,443,true,SJC,North America,San Jose,180 ms,0 kB/s
172.67.175.122,443,true,SEA,North America,Seattle,165 ms,0 kB/s
104.16.80.104,443,true,SJC,North America,San Jose,188 ms,0 kB/s
104.16.78.136,443,true,SJC,North America,San Jose,190 ms,0 kB/s
104.16.78.17,443,true,SJC,North America,San Jose,193 ms,0 kB/s
104.16.77.133,443,true,SJC,North America,San Jose,179 ms,0 kB/s
104.16.77.6,443,true,SJC,North America,San Jose,188 ms,0 kB/s
172.67.179.8,443,true,LAX,North America,Los Angeles,186 ms,0 kB/s
104.16.76.185,443,true,SJC,North America,San Jose,183 ms,0 kB/s
104.16.74.173,443,true,SJC,North America,San Jose,176 ms,0 kB/s
104.16.73.166,443,true,SJC,North America,San Jose,181 ms,0 kB/s
104.16.71.215,443,true,SJC,North America,San Jose,187 ms,0 kB/s
104.16.70.210,443,true,SJC,North America,San Jose,180 ms,0 kB/s
104.16.70.85,443,true,SJC,North America,San Jose,191 ms,0 kB/s
